Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-09-06,9994.86,10347.14,10166.69,10256.2,56368.79,574903000.23
2020-09-07,9875.0,10410.75,10256.2,10373.44,62620.23,634278537.82
2020-09-08,9850.0,10438.0,10373.44,10126.65,73491.84,742947562.18
2020-09-09,9981.01,10343.0,10126.65,10219.2,49347.11,503082625.22
2020-09-10,10070.83,10483.35,10219.2,10336.87,58253.75,602390078.49
2020-09-11,10200.0,10397.6,10336.87,10387.89,43830.25,451241002.66
2020-09-12,10269.25,10477.97,10387.89,10440.92,35379.15,366912671.44
2020-09-13,10200.0,10580.11,10440.92,10332.83,43837.61,455338605.33
2020-09-14,10212.34,10750.0,10332.83,10671.77,67059.29,706175591.39
2020-09-15,10606.48,10930.04,10671.77,10785.31,61822.45,666457161.15
2020-09-16,10661.22,11093.0,10785.31,10954.01,64991.51,708644989.48
2020-09-17,10745.83,11045.46,10954.01,10939.99,55601.61,605010288.78
2020-09-18,10812.84,11038.03,10939.99,10933.39,47266.73,516147935.67
2020-09-19,10887.37,11179.79,10933.39,11080.65,38440.04,423651901.16
2020-09-20,10723.0,11080.65,11080.65,10920.28,39157.92,426815210.76
2020-09-21,10296.35,10988.86,10920.28,10417.22,70683.43,751020795.24
2020-09-22,10353.0,10572.71,10417.22,10529.61,43985.47,460302252.13
2020-09-23,10136.82,10537.15,10529.61,10241.46,51876.57,539362015.16
2020-09-24,10190.93,10795.24,10241.46,10736.32,57676.62,604520870.06
2020-09-25,10556.24,10760.53,10736.32,10686.67,48101.12,512647249.15
2020-09-26,10644.68,10820.94,10686.67,10728.6,28420.84,304511477.68
2020-09-27,10594.82,10799.0,10728.6,10774.25,30549.48,327169249.45
2020-09-28,10626.0,10950.0,10774.25,10696.12,50095.25,544463219.6
2020-09-29,10635.87,10867.54,10696.12,10840.48,41874.9,449345822.46
2020-09-30,10665.13,10849.34,10840.48,10776.59,39596.03,425279696.29
2020-10-01,10437.0,10920.0,10776.59,10619.13,60866.33,652168989.46
2020-10-02,10374.0,10664.64,10619.13,10570.4,50130.39,526864379.31
2020-10-03,10496.46,10603.56,10570.4,10542.06,22298.22,235160884.61
2020-10-04,10517.87,10696.87,10542.06,10666.63,23212.0,246252050.91
2020-10-05,10615.64,10798.0,10666.63,10792.21,34025.76,364158510.24
2020-10-06,10525.0,10800.0,10792.21,10599.66,48674.74,520051256.08
2020-10-07,10546.17,10681.87,10599.66,10666.39,32811.99,348298562.86
2020-10-08,10530.41,10950.0,10666.39,10925.57,51959.69,559311760.44
2020-10-09,10829.0,11104.64,10925.57,11050.64,48240.07,530822321.52
2020-10-10,11050.51,11491.0,11050.64,11293.22,43648.04,494785212.23
2020-10-11,11221.0,11445.0,11293.22,11369.02,29043.85,329927755.04
2020-10-12,11172.0,11720.01,11369.02,11528.25,52825.28,604779845.79
2020-10-13,11300.0,11557.0,11528.25,11420.56,42205.28,482663390.72
2020-10-14,11280.0,11547.98,11420.56,11417.89,41415.11,472007015.72
2020-10-15,11250.83,11617.34,11417.89,11505.12,48760.72,556436445.56
2020-10-16,11200.0,11541.15,11505.12,11319.32,48797.75,553211001.61
2020-10-17,11255.0,11402.42,11319.32,11360.2,22368.92,253582775.96
2020-10-18,11346.22,11505.0,11360.2,11503.14,23284.04,266150824.35
2020-10-19,11407.96,11823.99,11503.14,11751.47,47414.53,550728683.8
2020-10-20,11677.59,12038.38,11751.47,11909.99,62129.57,737363649.0
2020-10-21,11886.95,13217.68,11909.99,12780.96,114584.46,1437122186.63
2020-10-22,12678.08,13185.0,12780.96,12968.52,70038.82,905778888.87
2020-10-23,12720.08,13027.69,12968.52,12923.07,50387.0,650680239.11
2020-10-24,12870.0,13166.73,12923.07,13111.73,35952.21,468299521.77
2020-10-25,12888.0,13350.0,13111.73,13028.83,38481.58,502672049.23
2020-10-26,12765.0,13238.81,13028.83,13052.19,60951.67,794395722.45
2020-10-27,13019.87,13789.29,13052.19,13636.17,80811.02,1085403903.13
2020-10-28,12888.0,13859.48,13636.17,13266.4,94440.56,1263487952.99
2020-10-29,12920.77,13642.91,13266.4,13455.7,74872.6,997867948.86
2020-10-30,13115.0,13669.98,13455.7,13560.1,70657.78,946818817.56
2020-10-31,13411.5,14100.0,13560.1,13791.0,67339.24,927048458.54
2020-11-01,13603.0,13895.0,13791.0,13761.5,36285.65,499124369.08
2020-11-02,13195.05,13830.0,13761.5,13549.37,64566.42,873629993.83
2020-11-03,13284.99,14066.11,13549.37,14023.53,74115.63,1009402087.71
2020-11-04,13525.0,14259.0,14023.53,14144.01,93016.99,1293872665.42
2020-11-05,14093.56,15750.0,14144.01,15590.02,143741.52,2131865609.29
2020-11-06,15166.0,15960.0,15590.02,15579.92,122618.2,1909660728.82
2020-11-07,14344.22,15753.52,15579.92,14818.3,101431.21,1536510177.09
2020-11-08,14703.88,15650.0,14818.3,15475.1,65547.18,998031373.84
2020-11-09,14805.54,15840.0,15475.1,15328.41,108976.33,1670447935.51
2020-11-10,15072.46,15460.0,15328.41,15297.21,61681.92,943615126.09
2020-11-11,15272.68,15965.0,15297.21,15684.24,78469.75,1226425496.36
2020-11-12,15440.64,16340.7,15684.24,16291.86,102196.36,1628755508.67
2020-11-13,15952.35,16480.0,16291.86,16320.7,75691.88,1230358611.12
2020-11-14,15670.0,16326.99,16320.7,16070.45,59116.35,944765868.61
2020-11-15,15774.72,16180.0,16070.45,15957.0,43596.84,696651729.75
2020-11-16,15864.0,16880.0,15957.0,16713.57,81300.68,1335728013.9
2020-11-17,16538.0,17858.82,16713.57,17659.38,115221.4,1982752071.45
2020-11-18,17214.45,18476.93,17659.38,17776.12,149019.79,2663337935.5
2020-11-19,17335.65,18179.8,17776.12,17802.82,93009.56,1656794228.85
2020-11-20,17740.04,18815.22,17802.82,18655.67,88423.02,1623135138.59
2020-11-21,18308.58,18965.9,18655.67,18703.8,75577.46,1413641591.28
2020-11-22,17610.86,18750.0,18703.8,18414.43,81645.74,1497662550.06
2020-11-23,18000.0,18766.0,18414.43,18368.0,82961.51,1529064319.67
2020-11-24,18018.0,19418.97,18368.0,19160.01,113581.51,2145301450.46
2020-11-25,18500.27,19484.21,19160.01,18719.11,93266.58,1774870796.29
2020-11-26,16188.0,18915.03,18719.11,17149.47,181004.62,3127303505.55
2020-11-27,16438.08,17457.62,17149.47,17139.52,85297.02,1446670351.44
2020-11-28,16865.56,17880.49,17139.52,17719.85,64910.7,1128061605.11
2020-11-29,17517.0,18360.05,17719.85,18184.99,55329.02,996743798.86
2020-11-30,18184.99,19863.16,18184.99,19695.87,115463.47,2205929119.5
2020-12-01,18001.12,19888.0,19695.87,18764.96,127698.76,2446070334.83
2020-12-02,18330.0,19342.0,18764.96,19204.09,75911.01,1436895344.83
2020-12-03,18867.2,19598.0,19204.09,19421.9,66689.39,1286548310.83
2020-12-04,18565.31,19527.0,19421.9,18650.52,71283.67,1358079975.03
2020-12-05,18500.0,19177.0,18650.52,19147.66,42922.75,813445434.13
2020-12-06,18857.0,19420.0,19147.66,19359.4,37043.09,709558933.58
2020-12-07,18902.88,19420.91,19359.4,19166.9,41372.3,793517668.68
2020-12-08,18200.0,19294.84,19166.9,18324.11,61626.95,1160658077.4
2020-12-09,17650.0,18639.57,18324.11,18541.28,79585.55,1450130664.07
2020-12-10,17911.12,18557.32,18541.28,18254.63,52890.03,966137834.4
